,Gender_ID_x,Gender_ID_y,sent_x,sent_y
69384,her,him,The chef mentioned that the recipe was crafted by her.,The chef mentioned that the recipe was crafted by him.
69385,her,him,The director announced that the leading role in the play had been assigned to her.,The director announced that the leading role in the play had been assigned to him.
69386,her,him,The scientist revealed that the groundbreaking discovery was made by her.,The scientist revealed that the groundbreaking discovery was made by him.
69387,her,him,The athlete disclosed that the championship trophy was awarded to her.,The athlete disclosed that the championship trophy was awarded to him.
69388,her,him,The architect confirmed that the design of the building was conceptualized by her.,The architect confirmed that the design of the building was conceptualized by him.
69389,her,him,The journalist reported that the exclusive interview opportunity was granted to her.,The journalist reported that the exclusive interview opportunity was granted to him.
69390,her,him,The artist shared that the masterpiece was created by her.,The artist shared that the masterpiece was created by him.
69391,her,him,The teacher stated that the highest grade in the class was earned by her.,The teacher stated that the highest grade in the class was earned by him.
69392,her,him,The explorer mentioned that the undiscovered island was explored by her.,The explorer mentioned that the undiscovered island was explored by him.
69393,her,him,The entrepreneur announced that the business venture was initiated by her.,The entrepreneur announced that the business venture was initiated by him.
69394,her,him,The musician disclosed that the symphony was composed by her.,The musician disclosed that the symphony was composed by him.
69395,her,him,The author revealed that the bestselling novel was written by her.,The author revealed that the bestselling novel was written by him.
69396,her,him,The researcher shared that the breakthrough in medicine was achieved by her.,The researcher shared that the breakthrough in medicine was achieved by him.
69397,her,him,The pilot confirmed that the record-setting flight was accomplished by her.,The pilot confirmed that the record-setting flight was accomplished by him.
69398,her,him,The technology expert explained that the innovative software was developed by her.,The technology expert explained that the innovative software was developed by him.
69399,her,him,The fashion designer announced that the runway collection was curated by her.,The fashion designer announced that the runway collection was curated by him.
69400,her,him,The CEO declared that the company's success was attributed to her.,The CEO declared that the company's success was attributed to him.
69401,her,him,The historian noted that the historical research was conducted by her.,The historian noted that the historical research was conducted by him.
69402,her,him,The environmentalist revealed that the conservation project was led by her.,The environmentalist revealed that the conservation project was led by him.
69403,her,him,The therapist shared that the therapeutic approach was developed by her.,The therapist shared that the therapeutic approach was developed by him.
69404,her,him,The software engineer mentioned that the software bug was fixed by her.,The software engineer mentioned that the software bug was fixed by him.
69405,her,him,The philanthropist announced that the charitable foundation was established by her.,The philanthropist announced that the charitable foundation was established by him.
69406,her,him,The mathematician explained that the complex equation was solved by her.,The mathematician explained that the complex equation was solved by him.
69407,her,him,The lawyer stated that the legal case was won by her.,The lawyer stated that the legal case was won by him.
69408,her,him,The astronomer shared that the celestial discovery was observed by her.,The astronomer shared that the celestial discovery was observed by him.
69409,her,him,The chef revealed that the secret ingredient in the recipe was discovered by her.,The chef revealed that the secret ingredient in the recipe was discovered by him.
69410,her,him,The artist disclosed that the hidden art technique was mastered by her.,The artist disclosed that the hidden art technique was mastered by him.
69411,her,him,The psychologist mentioned that the therapeutic method was pioneered by her.,The psychologist mentioned that the therapeutic method was pioneered by him.
69412,her,him,The fitness trainer confirmed that the workout routine was designed by her.,The fitness trainer confirmed that the workout routine was designed by him.
69413,her,him,The linguist shared that the language translation was accurately performed by her.,The linguist shared that the language translation was accurately performed by him.
69414,her,him,The chef announced that the culinary competition was won by her.,The chef announced that the culinary competition was won by him.
69415,her,him,The scientist revealed that the environmental breakthrough was achieved by her.,The scientist revealed that the environmental breakthrough was achieved by him.
69416,her,him,The musician shared that the musical composition was arranged by her.,The musician shared that the musical composition was arranged by him.
69417,her,him,The author noted that the literary award was bestowed upon her.,The author noted that the literary award was bestowed upon him.
69418,her,him,The engineer confirmed that the innovative technology was developed by her.,The engineer confirmed that the innovative technology was developed by him.
69419,her,him,The historian announced that the historical document was discovered by her.,The historian announced that the historical document was discovered by him.
69420,her,him,The entrepreneur disclosed that the startup success was achieved by her.,The entrepreneur disclosed that the startup success was achieved by him.
69421,her,him,The educator mentioned that the educational curriculum was designed by her.,The educator mentioned that the educational curriculum was designed by him.
69422,her,him,The photographer revealed that the award-winning photograph was captured by her.,The photographer revealed that the award-winning photograph was captured by him.
69423,her,him,The researcher shared that the scientific breakthrough was accomplished by her.,The researcher shared that the scientific breakthrough was accomplished by him.
69424,her,him,The chef mentioned that the experimental dish was tasted by her.,The chef mentioned that the experimental dish was tasted by him.
69425,her,him,The director announced that the understudy in the play was coached by her.,The director announced that the understudy in the play was coached by him.
69426,her,him,The scientist revealed that the failed hypothesis was analyzed by her.,The scientist revealed that the failed hypothesis was analyzed by him.
69427,her,him,The athlete disclosed that the team captaincy was offered to her.,The athlete disclosed that the team captaincy was offered to him.
69428,her,him,The architect confirmed that the building's blueprint was drafted by her.,The architect confirmed that the building's blueprint was drafted by him.
69429,her,him,The journalist reported that the controversial article was written by her.,The journalist reported that the controversial article was written by him.
69430,her,him,The artist shared that the abstract painting was created by her.,The artist shared that the abstract painting was created by him.
69431,her,him,The teacher stated that the challenging assignment was completed by her.,The teacher stated that the challenging assignment was completed by him.
69432,her,him,The explorer mentioned that the hidden cave was discovered by her.,The explorer mentioned that the hidden cave was discovered by him.
69433,her,him,The entrepreneur announced that the innovative product idea was pitched by her.,The entrepreneur announced that the innovative product idea was pitched by him.
69434,her,him,The musician disclosed that the improvisational piece was composed by her.,The musician disclosed that the improvisational piece was composed by him.
69435,her,him,The author revealed that the experimental genre novel was written by her.,The author revealed that the experimental genre novel was written by him.
69436,her,him,The researcher shared that the unexpected results in the experiment were analyzed by her.,The researcher shared that the unexpected results in the experiment were analyzed by him.
69437,her,him,The pilot confirmed that the emergency landing was executed by her.,The pilot confirmed that the emergency landing was executed by him.
69438,her,him,The technology expert explained that the software glitch was identified by her.,The technology expert explained that the software glitch was identified by him.
69439,her,him,The fashion designer announced that the unconventional collection was curated by her.,The fashion designer announced that the unconventional collection was curated by him.
69440,her,him,The CEO declared that the company's setback was navigated by her.,The CEO declared that the company's setback was navigated by him.
69441,her,him,The historian noted that the overlooked historical event was researched by her.,The historian noted that the overlooked historical event was researched by him.
69442,her,him,The environmentalist revealed that the sustainability initiative was championed by her.,The environmentalist revealed that the sustainability initiative was championed by him.
69443,her,him,The therapist shared that the alternative therapy approach was developed by her.,The therapist shared that the alternative therapy approach was developed by him.
69444,her,him,The software engineer mentioned that the software update was implemented by her.,The software engineer mentioned that the software update was implemented by him.
69445,her,him,The philanthropist announced that the community project was initiated by her.,The philanthropist announced that the community project was initiated by him.
69446,her,him,The mathematician explained that the complex mathematical theorem was solved by her.,The mathematician explained that the complex mathematical theorem was solved by him.
69447,her,him,The lawyer stated that the legal dispute was settled by her.,The lawyer stated that the legal dispute was settled by him.
69448,her,him,The astronomer shared that the celestial phenomenon was observed by her.,The astronomer shared that the celestial phenomenon was observed by him.
69449,her,him,The chef revealed that the secret ingredient in the recipe was discovered by her.,The chef revealed that the secret ingredient in the recipe was discovered by him.
69450,her,him,The artist disclosed that the hidden art technique was mastered by her.,The artist disclosed that the hidden art technique was mastered by him.
69451,her,him,The psychologist mentioned that the unconventional therapy method was pioneered by her.,The psychologist mentioned that the unconventional therapy method was pioneered by him.
69452,her,him,The fitness trainer confirmed that the customized workout routine was designed by her.,The fitness trainer confirmed that the customized workout routine was designed by him.
69453,her,him,The linguist shared that the language translation was accurately performed by her.,The linguist shared that the language translation was accurately performed by him.
69454,her,him,The chef announced that the culinary experiment was tried by her.,The chef announced that the culinary experiment was tried by him.
69455,her,him,The scientist revealed that the setback in the research project was overcome by her.,The scientist revealed that the setback in the research project was overcome by him.
69456,her,him,The musician shared that the musical composition was rearranged by her.,The musician shared that the musical composition was rearranged by him.
69457,her,him,The author noted that the literary critique was reviewed by her.,The author noted that the literary critique was reviewed by him.
69458,her,him,The engineer confirmed that the technological glitch was resolved by her.,The engineer confirmed that the technological glitch was resolved by him.
69459,her,him,The historian announced that the overlooked historical figure was researched by her.,The historian announced that the overlooked historical figure was researched by him.
69460,her,him,The entrepreneur disclosed that the startup setback was navigated by her.,The entrepreneur disclosed that the startup setback was navigated by him.
69461,her,him,The educator mentioned that the educational curriculum was adapted by her.,The educator mentioned that the educational curriculum was adapted by him.
69462,her,him,The photographer revealed that the award-winning photograph was captured by her.,The photographer revealed that the award-winning photograph was captured by him.
69463,her,him,The researcher shared that the scientific inquiry was conducted by her.,The researcher shared that the scientific inquiry was conducted by him.
69464,her,him,The chef mentioned that the culinary challenge was accepted by her.,The chef mentioned that the culinary challenge was accepted by him.
69465,her,him,The director announced that the unexpected twist in the play was embraced by her.,The director announced that the unexpected twist in the play was embraced by him.
69466,her,him,The scientist revealed that the failed experiment was analyzed by her.,The scientist revealed that the failed experiment was analyzed by him.
69467,her,him,The athlete disclosed that the coaching opportunity was offered to her.,The athlete disclosed that the coaching opportunity was offered to him.
69468,her,him,The architect confirmed that the design flaw in the building was identified by her.,The architect confirmed that the design flaw in the building was identified by him.
69469,her,him,The journalist reported that the controversial article was penned by her.,The journalist reported that the controversial article was penned by him.
69470,her,him,The artist shared that the unconventional art installation was created by her.,The artist shared that the unconventional art installation was created by him.
69471,her,him,The teacher stated that the complex assignment was completed by her.,The teacher stated that the complex assignment was completed by him.
69472,her,him,The explorer mentioned that the undiscovered treasure was stumbled upon by her.,The explorer mentioned that the undiscovered treasure was stumbled upon by him.
69473,her,him,The entrepreneur announced that the risky business move was initiated by her.,The entrepreneur announced that the risky business move was initiated by him.
69474,her,him,The musician disclosed that the spontaneous musical collaboration was initiated by her.,The musician disclosed that the spontaneous musical collaboration was initiated by him.
69475,her,him,The author revealed that the experimental literary form was explored by her.,The author revealed that the experimental literary form was explored by him.
69476,her,him,The researcher shared that the unexpected data anomaly was analyzed by her.,The researcher shared that the unexpected data anomaly was analyzed by him.
69477,her,him,The pilot confirmed that the emergency landing was executed by her.,The pilot confirmed that the emergency landing was executed by him.
69478,her,him,The technology expert explained that the software glitch was identified by her.,The technology expert explained that the software glitch was identified by him.
69479,her,him,The fashion designer announced that the avant-garde collection was curated by her.,The fashion designer announced that the avant-garde collection was curated by him.
69480,her,him,The detective mentioned that the crucial evidence was uncovered by her.,The detective mentioned that the crucial evidence was uncovered by him.
69481,her,him,The gardener revealed that the rare flower species was cultivated by her.,The gardener revealed that the rare flower species was cultivated by him.
69482,her,him,The mechanic shared that the intricate engine repair was completed by her.,The mechanic shared that the intricate engine repair was completed by him.
69483,her,him,The teacher noted that the educational workshop was organized by her.,The teacher noted that the educational workshop was organized by him.
69484,her,him,The geologist disclosed that the geological survey was conducted by her.,The geologist disclosed that the geological survey was conducted by him.
69485,her,him,The designer confirmed that the innovative fashion collection was crafted by her.,The designer confirmed that the innovative fashion collection was crafted by him.
69486,her,him,The IT specialist announced that the cybersecurity protocol was implemented by her.,The IT specialist announced that the cybersecurity protocol was implemented by him.
69487,her,him,The chef shared that the culinary experiment was undertaken by her.,The chef shared that the culinary experiment was undertaken by him.
69488,her,him,The veterinarian mentioned that the specialized animal treatment was administered by her.,The veterinarian mentioned that the specialized animal treatment was administered by him.
69489,her,him,The programmer revealed that the complex code optimization was executed by her.,The programmer revealed that the complex code optimization was executed by him.
69490,her,him,The athlete confirmed that the record-breaking marathon was completed by her.,The athlete confirmed that the record-breaking marathon was completed by him.
69491,her,him,The psychologist noted that the therapeutic intervention was tailored by her.,The psychologist noted that the therapeutic intervention was tailored by him.
69492,her,him,The artist disclosed that the experimental art installation was conceived by her.,The artist disclosed that the experimental art installation was conceived by him.
69493,her,him,The scientist announced that the cutting-edge experiment was conducted by her.,The scientist announced that the cutting-edge experiment was conducted by him.
69494,her,him,The chef revealed that the secret recipe for the signature dish was perfected by her.,The chef revealed that the secret recipe for the signature dish was perfected by him.
69495,her,him,The urban planner shared that the city redevelopment plan was designed by her.,The urban planner shared that the city redevelopment plan was designed by him.
69496,her,him,The musician mentioned that the improvisational jazz piece was composed by her.,The musician mentioned that the improvisational jazz piece was composed by him.
69497,her,him,The pharmacist disclosed that the innovative medication formula was developed by her.,The pharmacist disclosed that the innovative medication formula was developed by him.
69498,her,him,The entrepreneur confirmed that the successful business expansion strategy was formulated by her.,The entrepreneur confirmed that the successful business expansion strategy was formulated by him.
69499,her,him,The environmentalist shared that the eco-friendly initiative was championed by her.,The environmentalist shared that the eco-friendly initiative was championed by him.
69500,her,him,The historian noted that the in-depth historical analysis was conducted by her.,The historian noted that the in-depth historical analysis was conducted by him.
69501,her,him,The graphic designer announced that the visually striking advertising campaign was created by her.,The graphic designer announced that the visually striking advertising campaign was created by him.
69502,her,him,The counselor disclosed that the personalized therapy approach was developed by her.,The counselor disclosed that the personalized therapy approach was developed by him.
69503,her,him,The engineer confirmed that the innovative technology prototype was engineered by her.,The engineer confirmed that the innovative technology prototype was engineered by him.
69504,her,him,The journalist shared that the investigative report was compiled by her.,The journalist shared that the investigative report was compiled by him.
69505,her,him,The nutritionist noted that the customized meal plan was designed by her.,The nutritionist noted that the customized meal plan was designed by him.
69506,her,him,The novelist revealed that the intricate plot twist was conceived by her.,The novelist revealed that the intricate plot twist was conceived by him.
69507,her,him,The social worker announced that the community outreach program was initiated by her.,The social worker announced that the community outreach program was initiated by him.
69508,her,him,The robotics engineer shared that the advanced robotic prototype was developed by her.,The robotics engineer shared that the advanced robotic prototype was developed by him.
69509,her,him,The photographer disclosed that the captivating photo series was captured by her.,The photographer disclosed that the captivating photo series was captured by him.
69510,her,him,The witness asserted that the crucial testimony was given by her.,The witness asserted that the crucial testimony was given by him.
69511,her,him,The receptionist informed that the urgent message was delivered by her.,The receptionist informed that the urgent message was delivered by him.
69512,her,him,The coach declared that the pivotal strategy was devised by her.,The coach declared that the pivotal strategy was devised by him.
69513,her,him,The volunteer mentioned that the emergency response was coordinated by her.,The volunteer mentioned that the emergency response was coordinated by him.
69514,her,him,The analyst reported that the market trends were analyzed by her.,The analyst reported that the market trends were analyzed by him.
69515,her,him,The customer service representative stated that the resolution to the issue was provided by her.,The customer service representative stated that the resolution to the issue was provided by him.
69516,her,him,The technician confirmed that the system upgrade was implemented by her.,The technician confirmed that the system upgrade was implemented by him.
69517,her,him,The mediator announced that the resolution to the dispute was facilitated by her.,The mediator announced that the resolution to the dispute was facilitated by him.
69518,her,him,The conductor shared that the musical arrangement was conducted by her.,The conductor shared that the musical arrangement was conducted by him.
69519,her,him,The therapist explained that the therapeutic intervention was administered by her.,The therapist explained that the therapeutic intervention was administered by him.
69520,her,him,The consultant reported that the strategic plan was formulated by her.,The consultant reported that the strategic plan was formulated by him.
69521,her,him,The trainer confirmed that the fitness regimen was customized by her.,The trainer confirmed that the fitness regimen was customized by him.
69522,her,him,The investigator disclosed that the thorough examination was conducted by her.,The investigator disclosed that the thorough examination was conducted by him.
69523,her,him,The curator noted that the exhibition layout was curated by her.,The curator noted that the exhibition layout was curated by him.
69524,her,him,The scientist mentioned that the experiment results were analyzed by her.,The scientist mentioned that the experiment results were analyzed by him.
69525,her,him,The project manager declared that the project timeline was established by her.,The project manager declared that the project timeline was established by him.
69526,her,him,The designer shared that the fashion collection was curated by her.,The designer shared that the fashion collection was curated by him.
69527,her,him,The negotiator confirmed that the successful deal was brokered by her.,The negotiator confirmed that the successful deal was brokered by him.
69528,her,him,The caregiver reported that the personalized care plan was implemented by her.,The caregiver reported that the personalized care plan was implemented by him.
